# Logfile created on 2026-08-29 21:48:54 +0200 by logger.rb/v1.5.3
2026-08-29 21:48:54 +0200: Memory Usage (460900K) : metal2_filler has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (461160K) : metal2_nofill has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (461160K) : metal2_slit has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (461160K) : metal2_text has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (461160K) : metal2_opc has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (461160K) : metal2_noqrc has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (461160K) : metal2_res has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (461160K) : metal2_iprobe has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (461424K) : metal2_diffprb has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (461424K) : baspoly_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (461424K) : baspoly_pin has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (461424K) : psd_drw has 22 polygons
2026-08-29 21:48:54 +0200: Memory Usage (461424K) : nldb_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (461688K) : digibnd_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (461688K) : via1_drw has 51 polygons
2026-08-29 21:48:54 +0200: Memory Usage (461688K) : backmetal1_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (461832K) : backmetal1_pin has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (461832K) : backmetal1_mask has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (461832K) : backmetal1_filler has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (462092K) : backmetal1_nofill has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (462092K) : backmetal1_slit has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (462092K) : backmetal1_text has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (462268K) : backmetal1_opc has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (462268K) : backmetal1_noqrc has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (462268K) : backmetal1_res has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (462268K) : backmetal1_iprobe has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (462528K) : backmetal1_diffprb has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (462528K) : backpassiv_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (462528K) : res_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (462528K) : sram_drw has 0 polygons
